objectid;Nom / Nombre;Adreça / Direccion;Tipus Zona / Tipo Zona;Paràmetres / Parámetros;Mesuraments / Mediciones;so2;no2;o3;co;pm10;pm25;tipoemision;fecha_carga;calidad_ambiental;fiwareid;geo_shape;geo_point_2d
14;Bulevard Sud;BULEVARD SUD;Urbana;Dióxido de azufre (SO2),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Niquel (Ni),Arsénico (As),Plomo (Pb),Benzo(a)pireno (BaP),Cadmio (Cd);http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/7A.csv;2.0;18.0;46.0;;;;Tráfico;2025-11-17T15:00:00+01:00;Buena;A02_BULEVARDSUD_60m;"{""coordinates"": [-0.3963375643758562, 39.45039600550536], ""type"": ""Point""}";39.45039600550536, -0.3963375643758562
19;Valencia Centro;VALÈNCIA CENTRE;Urbana;Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5;https://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/8A.csv;;10.0;;;14.0;5.0;Tráfico;2025-11-17T15:00:00+01:00;Buena;A07_VALENCIACENTRE_60m;"{""coordinates"": [-0.37639765165532396, 39.470547670260125], ""type"": ""Point""}";39.470547670260125, -0.37639765165532396
22;Patraix;PATRAIX;Urbana;Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5;;;16.0;;;36.0;7.0;Tráfico;2025-11-17T15:00:00+01:00;Buena;A11_PATRAIX_60m;"{""coordinates"": [-0.4014113292191286, 39.45918908999643], ""type"": ""Point""}";39.45918908999643, -0.4014113292191286
15;Moli del Sol;MOLÍ DEL SOL;Suburbana;Dióxido de azufre (SO2),Monóxido de carbono (CO),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5,Partículas PM1;http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/3A.csv;1.0;7.0;34.0;0.0;9.0;3.0;Tráfico;2025-11-17T15:00:00+01:00;Buena;A03_MOLISOL_60m;"{""coordinates"": [-0.4088098969009376, 39.48111211090413], ""type"": ""Point""}";39.48111211090413, -0.4088098969009376
16;Pista Silla;PISTA DE SILLA;Urbana;Dióxido de azufre (SO2),Monóxido de carbono (CO),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Benceno (Benc),Tolueno (Tolue),Xileno (Xilen),Partículas PM10,Partículas PM2.5,Nivel de presión sonora (SPL);http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/4A.csv;2.0;14.0;47.0;0.0;11.0;4.0;Tráfico;2025-11-17T15:00:00+01:00;Buena;A04_PISTASILLA_60m;"{""coordinates"": [-0.37664393657915707, 39.45806095369672], ""type"": ""Point""}";39.45806095369672, -0.37664393657915707
18;Viveros;VIVERS;Urbana;Dióxido de azufre (SO2),Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Ozono,Partículas PM2.5,Partículas PM10,Niquel (Ni),Arsénico (As),Plomo (Pb),Cadmio (Cd);http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/5A.csv;0.0;2.0;45.0;;;;Fondo;2025-11-17T15:00:00+01:00;Buena;A06_VIVERS_60m;"{""coordinates"": [-0.36964822314381013, 39.47964092480533], ""type"": ""Point""}";39.47964092480533, -0.36964822314381013
21;Valencia Olivereta;OLIVERETA;Urbana;Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5;;;42.0;;;16.0;5.0;Tráfico;2025-11-17T15:00:00+01:00;Buena;A10_OLIVERETA_60m;"{""coordinates"": [-0.40592344552906795, 39.46924423509195], ""type"": ""Point""}";39.46924423509195, -0.40592344552906795
13;Avda. Francia;AVDA.FRANCIA;Urbana;Dióxido de azufre (SO2),Monóxido de carbono (CO),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Velocidad de viento (Veloc.), Particulas PM10, Particulas PM2,5;http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/6A.csv;2.0;9.0;44.0;0.0;12.0;4.0;Tráfico;2025-11-17T15:00:00+01:00;Buena;A01_AVFRANCIA_60m;"{""coordinates"": [-0.342986232422652, 39.45782688751831], ""type"": ""Point""}";39.45782688751831, -0.342986232422652
20;Cabanyal;CABANYAL;Urbana;;;;12.0;;;9.0;3.0;Fondo;2025-11-17T15:00:00+01:00;Buena;A09_CABANYAL_60m;"{""coordinates"": [-0.32853481349274394, 39.47439078535677], ""type"": ""Point""}";39.47439078535677, -0.32853481349274394
17;Politecnico;POLITÈCNIC;Suburbana;Dióxido de azufre (SO2),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5;http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/1A.csv;2.0;7.0;48.0;;6.0;3.0;Fondo;2025-11-17T15:00:00+01:00;Buena;A05_POLITECNIC_60m;"{""coordinates"": [-0.33740066052186946, 39.47964449692915], ""type"": ""Point""}";39.47964449692915, -0.33740066052186946
